# site nbart_coastal_aerosol nbart_blue nbart_green nbart_red nbart_nir nbart_swir_1 nbart_coastal_aerosol_std nbart_blue_std nbart_green_std nbart_red_std nbart_nir_std nbart_swir_1_std NDVI NDWI DateEnd Class DateSta wetland
8.000000 572.000000 578.000000 710.000000 691.000000 2405.000000 2049.000000 1929.288519 1969.330128 1922.944529 1980.984312 1543.020138 904.068940 0.553618 -0.544141  nan 0.000000  nan 0.000000
7.000000 734.000000 801.000000 963.000000 984.000000 2828.000000 2150.000000 1596.425959 1597.298867 1540.761700 1550.263628 1067.199616 728.462540 0.483736 -0.491955  nan 0.000000  nan 0.000000
9.000000 526.000000 552.000000 698.000000 650.000000 2632.000000 1770.000000 2253.184901 2297.987601 2274.941929 2359.094870 1880.988867 1462.006571 0.603900 -0.580781  nan 0.000000  nan 0.000000
10.000000 945.000000 882.500000 936.000000 883.000000 2547.500000 1881.500000 1891.720279 1874.684404 1823.935271 1831.151811 1395.235365 852.358377 0.485206 -0.462609  nan 0.000000  nan 0.000000
16.000000 627.500000 661.000000 804.500000 981.500000 3082.000000 2979.000000 2172.979328 2161.935726 2106.986296 2096.834005 1703.589894 872.511901 0.516919 -0.586003  nan 0.000000  nan 0.000000
17.000000 493.000000 494.500000 642.500000 713.500000 2503.500000 2131.000000 2004.820067 1998.591748 1969.682752 1966.534994 1569.653242 808.588990 0.556419 -0.591545  nan 0.000000  nan 0.000000
18.000000 500.000000 514.000000 690.500000 762.000000 2993.000000 2030.500000 2114.028461 2100.702937 2073.990450 2086.161492 1618.403475 832.865088 0.594141 -0.625085  nan 0.000000  nan 0.000000
11.000000 973.000000 943.000000 1030.000000 865.000000 3335.000000 1731.000000 3286.521495 3365.680342 3348.624671 3468.820649 3072.416547 2485.320442 0.588095 -0.528064  nan 0.000000  nan 0.000000
15.000000 758.500000 750.500000 1007.000000 1061.500000 3672.000000 2813.000000 2359.944575 2360.596551 2285.771370 2321.084291 1638.072133 938.891454 0.551495 -0.569566  nan 0.000000  nan 0.000000
13.000000 965.000000 902.500000 954.000000 872.500000 3405.000000 1773.500000 2447.873857 2445.617998 2469.521903 2506.959874 1887.476387 1253.035595 0.592051 -0.562285  nan 0.000000  nan 0.000000
14.000000 785.000000 855.000000 1101.500000 1182.000000 3996.000000 2631.000000 2484.183148 2474.539595 2392.429257 2441.172688 1632.657996 1093.119805 0.543453 -0.567827  nan 0.000000  nan 0.000000
12.000000 1870.000000 1771.000000 2105.000000 1958.000000 3466.000000 1833.000000 2200.112875 2223.173208 2197.441576 2263.886691 1769.198942 1467.354991 0.278024 -0.244301  nan 0.000000  nan 0.000000
20.000000 455.500000 450.500000 593.000000 532.000000 2487.500000 1573.000000 1988.870974 1981.582040 1923.673414 1941.580932 1373.533382 730.234898 0.647624 -0.614998  nan 0.000000  nan 0.000000
19.000000 443.000000 458.000000 623.500000 630.500000 3040.500000 1735.500000 1712.069934 1694.833101 1634.374234 1632.241994 1096.894386 508.757555 0.656497 -0.659662  nan 0.000000  nan 0.000000
22.000000 2312.000000 2286.000000 2213.000000 2110.000000 3866.500000 1931.500000 2650.372581 2700.356334 2690.690583 2794.349382 2141.000950 1815.238217 0.293901 -0.271980  nan 0.000000  nan 0.000000
21.000000 1772.500000 1787.500000 1920.500000 1775.000000 4142.000000 1930.000000 2530.130488 2554.284389 2509.558039 2603.705403 1737.397565 1601.764091 0.400034 -0.366433  nan 0.000000  nan 0.000000
23.000000 1264.500000 1209.000000 1293.500000 1164.000000 3238.500000 1556.500000 2329.461533 2338.830719 2290.214687 2338.048870 1524.118535 971.683557 0.471210 -0.429170  nan 0.000000  nan 0.000000
4.000000 521.000000 489.000000 564.000000 590.000000 2286.000000 1749.000000 2050.478493 2057.892645 2051.668798 2071.733050 1629.681260 940.705031 0.589708 -0.604211  nan 0.000000  nan 0.000000
6.000000 609.000000 624.000000 738.000000 781.000000 2526.000000 2149.000000 1978.902177 1988.751036 1969.550609 1995.503774 1612.667125 1022.977979 0.527669 -0.547794  nan 0.000000  nan 0.000000
5.000000 458.000000 445.000000 537.000000 531.000000 2081.000000 1618.000000 1903.404007 1914.400369 1890.124181 1916.804238 1514.485231 903.414923 0.593415 -0.589763  nan 0.000000  nan 0.000000
3.000000 1352.000000 1356.000000 1341.000000 1249.000000 3088.000000 1648.000000 2584.542683 2612.954143 2606.111447 2663.317116 2007.251740 1500.673310 0.424026 -0.394446  nan 0.000000  nan 0.000000
1.000000 1238.000000 1182.000000 1070.000000 988.000000 3654.000000 1434.000000 2960.227183 3016.105711 3032.147134 3139.514673 2293.757282 1835.071550 0.574321 -0.546994  nan 0.000000  nan 0.000000
2.000000 492.000000 450.000000 585.000000 409.000000 4209.000000 1404.000000 2531.459283 2573.151497 2541.095471 2660.403946 1625.803612 1506.192847 0.822867 -0.755945  nan 0.000000  nan 0.000000
32.000000 447.000000 520.000000 773.000000 1000.000000 2287.000000 2613.000000 2121.533872 2091.852663 2040.592269 2006.633349 1629.948623 700.235944 0.391542 -0.494771  nan 0.000000  nan 0.000000
31.000000 502.000000 588.000000 828.000000 1062.000000 2235.000000 2822.000000 2112.992734 2078.353853 2011.008212 1970.484016 1580.581935 563.326899 0.355778 -0.459354  nan 0.000000  nan 0.000000
35.000000 977.000000 940.000000 1139.000000 994.000000 2947.000000 1714.000000 2506.263583 2533.365677 2511.137415 2584.934806 1935.473912 1337.143802 0.495560 -0.442487  nan 0.000000  nan 0.000000
